2017-04-08 06:00:00,1192.34,1196.34,1190.19,1196.34,26
2017-04-08 06:30:00,1196.34,1197.30,1193.40,1197.03,27
2017-04-08 07:00:00,1196.99,1196.99,1192.70,1193.06,8
2017-04-08 07:30:00,1194.93,1196.53,1193.05,1196.33,20
2017-04-08 08:00:00,1196.33,1196.33,1193.05,1193.05,24
2017-04-08 08:30:00,1195.53,1195.58,1189.62,1193.05,94
2017-04-08 09:00:00,1193.68,1193.82,1190.20,1191.60,24
2017-04-08 09:30:00,1191.50,1191.50,1188.10,1190.87,62
2017-04-08 10:00:00,1190.87,1192.60,1190.58,1192.60,15
2017-04-08 10:30:00,1191.94,1195.95,1191.94,1194.61,37
2017-04-08 11:00:00,1195.06,1195.89,1194.60,1195.21,29
2017-04-08 11:30:00,1194.62,1195.50,1194.61,1194.70,19
2017-04-08 12:00:00,1194.70,1195.40,1194.44,1194.44,51
2017-04-08 12:30:00,1193.32,1194.93,1193.02,1194.58,41
2017-04-08 13:00:00,1194.14,1194.68,1188.00,1188.00,57
2017-04-08 13:30:00,1188.00,1188.22,1183.60,1184.08,164
2017-04-08 14:00:00,1184.24,1188.44,1183.24,1187.25,106
2017-04-08 14:30:00,1187.41,1192.00,1187.25,1191.35,46
2017-04-08 15:00:00,1191.48,1193.34,1189.08,1190.89,54
2017-04-08 15:30:00,1190.90,1192.25,1190.12,1192.24,10
